music,artist,duration_ms,music_popularity,genres,artist_popularity,followers,liked,previsão
Little by Little,Oasis,292866,37,"['britpop', 'madchester']",81,11697818,0,0
Black Hole Sun,Soundgarden,318586,1,"['grunge', 'post-grunge', 'hard rock']",72,4913960,0,0
Like a Stone,Audioslave,293960,86,"['grunge', 'post-grunge', 'alternative metal']",73,4979849,0,0
I Am the Highway,Audioslave,334906,72,"['grunge', 'post-grunge', 'alternative metal']",73,4979849,0,0
Show Me How to Live,Audioslave,277840,76,"['grunge', 'post-grunge', 'alternative metal']",73,4979849,0,0
The Gift - Live,Seether,336693,0,"['post-grunge', 'alternative metal', 'rock']",73,3726004,0,0
Driven Under - Live,Seether,298666,0,"['post-grunge', 'alternative metal', 'rock']",73,3726004,0,0
Fine Again - Live,Seether,305040,0,"['post-grunge', 'alternative metal', 'rock']",73,3726004,0,0
Savin' Me,Nickelback,219320,44,"['post-grunge', 'rock']",82,7639521,0,0
Blurry,Puddle Of Mudd,304000,2,['post-grunge'],67,2245953,0,0
Alive,Pearl Jam,340907,79,"['grunge', 'rock', 'post-grunge']",78,9674813,0,0
Hunger Strike,Temple Of The Dog,246266,72,"['grunge', 'post-grunge']",59,1369559,0,0
Por Enquanto - Ao Vivo,Cássia Eller,143839,69,"['mpb', 'brazilian rock', 'brazilian pop']",65,2488186,0,1
Let There Be Light Again,落日飛車 Sunset Rollercoaster,227293,45,"['taiwanese indie', 'chinese indie', 'bedroom pop']",57,516277,0,0
Touché - Acoustic,Godsmack,217866,47,"['nu metal', 'alternative metal', 'hard rock', 'rap metal', 'metal']",70,3578364,0,0
Naive,The Kooks,203506,80,"['indie', 'indie rock']",70,2636242,0,1
The Lines (Low Gain Mix),Beartooth,181683,42,"['metalcore', 'post-hardcore']",63,860329,0,0
7 - Acoustic,Catfish and the Bottlemen,252320,49,['indie'],67,1158761,0,1
